id,precio,tipo,valoraciones,puntaje,personas,dormitorios,banos,estadia,distancia,dependencias
1,50,Entire home/apt,1,4.5,2,0,1,3,548.1307247,14
2,24,Private room,14,5,1,1,1,1,1623.405252,31
3,65,Private room,0,0,2,1,0,1,1529.740914,5
4,65,Private room,0,0,2,1,1,1,1703.897887,6
5,65,Private room,0,0,2,1,0,1,1562.032545,5
6,75,Private room,0,0,3,1,1,1,1581.592879,6
7,85,Private room,0,0,4,1,1,1,1554.647804,9
8,60,Private room,0,0,2,1,0,3,680.8334401,7
9,40,Private room,0,0,1,1,0,3,845.8209922,15
10,60,Private room,0,0,2,1,0,1,672.1866745,16
11,60,Entire home/apt,0,0,3,0,0,1,1359.384732,27
12,35,Private room,25,5,2,1,0,2,1671.498208,44
13,60,Entire home/apt,41,5,3,2,1,4,1696.176835,8
14,120,Entire home/apt,0,0,3,0,0,1,708.9769465,27
15,35,Private room,6,4.5,1,1,1,3,738.2715712,14
16,50,Entire home/apt,16,4,4,1,1,3,1005.083735,31
17,50,Entire home/apt,15,4,4,1,1,3,773.6855083,35
18,45,Entire home/apt,5,4.5,2,1,1,5,831.1139397,38
19,38,Private room,0,0,2,1,0,1,1042.140373,3
20,45,Entire home/apt,25,5,2,0,1,5,712.1491736,24
21,50,Entire home/apt,35,4.5,5,1,1,5,987.8281963,18
22,54,Entire home/apt,2,5,3,0,0,6,983.6041505,47
23,69,Entire home/apt,32,4.5,3,1,1,3,1230.520468,7
24,32,Entire home/apt,2,3,3,2,1,7,689.8396749,39
25,54,Entire home/apt,1,4.5,3,0,0,6,1015.41287,46
26,350,Entire home/apt,0,0,2,0,0,1,1084.801405,19
27,48,Entire home/apt,80,4.5,5,1,1,4,496.6826519,17
28,34,Entire home/apt,77,5,2,1,1,2,1654.811511,29
29,55,Private room,0,0,1,1,0,1,141.7716879,3
30,40,Entire home/apt,37,5,2,1,1,3,329.1096577,2
31,133,Entire home/apt,64,5,4,2,0,2,880.4152648,5
32,120,Entire home/apt,38,4.5,5,2,0,3,1223.682977,10
33,20,Private room,2,5,0,1,3,1,389.6959248,7
34,135,Entire home/apt,107,5,4,2,0,3,929.7279877,7
35,65,Private room,12,4.5,2,1,3,2,1107.407707,32
36,19,Private room,18,4,1,1,1,4,823.4901106,57
37,40,Private room,0,0,1,1,0,1,640.1287637,5
38,199,Entire home/apt,3,5,5,3,0,3,920.5696665,11
39,60,Entire home/apt,4,4.5,3,2,1,1,675.7688993,38
40,150,Private room,0,0,0,1,2,1,756.1845712,19
41,65,Entire home/apt,67,5,3,1,0,4,484.4705032,7
42,70,Entire home/apt,52,5,2,1,1,4,470.8753312,12
43,38,Entire home/apt,90,4.5,4,2,1,1,1039.574119,40
44,40,Entire home/apt,18,5,2,1,1,5,690.2668295,2
45,40,Entire home/apt,0,0,2,1,0,1,1009.008023,2
46,42,Entire home/apt,10,5,2,1,1,6,1269.160426,8
47,59,Entire home/apt,97,5,4,1,1,2,963.1034417,49
48,40,Entire home/apt,2,3.5,4,1,0,7,1080.6478,13
49,70,Entire home/apt,54,5,4,1,1,4,670.285907,16
50,90,Entire home/apt,18,4.5,2,1,1,3,628.6220911,9
51,40,Entire home/apt,0,0,2,1,0,1,914.9656685,3
52,50,Entire home/apt,33,4.5,3,1,1,2,1362.286394,8
53,50,Entire home/apt,22,4.5,4,1,1,7,1217.450092,10
54,39,Entire home/apt,16,4.5,3,1,1,5,1639.907067,39
55,62,Entire home/apt,25,4.5,3,1,1,3,1650.41662,33
56,45,Entire home/apt,22,4.5,4,2,1,3,284.3689338,12
57,600,Entire home/apt,1,5,0,8,8,4,704.1936917,3
58,80,Entire home/apt,12,4.5,4,1,1,3,929.7555723,37
59,40,Private room,0,0,2,1,0,1,1749.004522,42
60,35,Private room,0,0,1,1,0,1,1257.584088,2
61,55,Entire home/apt,0,0,1,1,0,1,1298.05844,45
62,82,Entire home/apt,4,5,2,1,1,10,436.1881764,3
63,40,Entire home/apt,39,5,2,1,1,7,1833.393804,5
64,69,Entire home/apt,110,5,2,1,1,2,1352.445848,3
65,75,Entire home/apt,47,5,3,1,1,2,806.7175033,14
66,89,Entire home/apt,14,4.5,4,2,0,3,609.9821056,37
67,65,Entire home/apt,64,5,2,1,1,4,594.1666572,36
68,54,Entire home/apt,3,4.5,5,3,0,7,871.2854938,1
69,110,Entire home/apt,52,5,4,2,0,2,1046.512105,6
70,100,Entire home/apt,1,5,5,3,1,0,1451.61273,7
71,35,Private room,0,0,2,1,1,2,1314.319431,4
72,85,Entire home/apt,67,5,4,2,0,7,1281.746672,9
73,60,Entire home/apt,113,4.5,4,1,1,1,1235.002159,19
74,62,Entire home/apt,27,4.5,4,1,1,0,1234.236371,32
75,47,Entire home/apt,86,4.5,2,1,1,0,1789.708336,17
76,128,Private room,1,4,3,1,1,3,1236.609349,13
77,172,Entire home/apt,42,4.5,5,2,0,3,1107.951169,14
78,110,Entire home/apt,1,3,2,1,1,7,1332.273718,35
79,60,Entire home/apt,62,4.5,4,2,0,5,1616.512207,3
80,70,Entire home/apt,0,0,2,1,1,4,701.1940507,26
81,48,Entire home/apt,25,4.5,2,1,1,3,784.3283922,36
82,33,Entire home/apt,31,4.5,2,1,1,3,1371.748162,6
83,50,Entire home/apt,45,4.5,2,1,1,3,980.4581598,11
84,80,Entire home/apt,2,5,3,1,1,2,501.9975104,25
85,150,Entire home/apt,1,5,4,2,1,5,1587.580172,18
86,80,Private room,0,0,2,1,0,2,1894.55951,4
87,55,Entire home/apt,0,0,2,1,1,6,574.1954164,50
88,55,Entire home/apt,39,5,2,1,1,4,1660.168404,4
89,150,Entire home/apt,1,5,0,1,0,2,1668.15639,9
90,200,Entire home/apt,9,5,4,2,2,2,1595.549914,11
91,125,Entire home/apt,3,4,4,1,0,2,1577.819497,2
92,150,Entire home/apt,12,4.5,4,1,1,2,528.2651942,5
