barrio;inicial;priminc;primcomp;secinc;seccomp;terinc;tercomp;univinc;univcomp;posinc;poscomp;sabeleer;nosabeleer;cobertura;nocobertura;ocupados;desocupados;inactivos;nbi1;nbi2;nbi3;nbi4;nbi5;sinpriv;privpat;privrec;privconv;casa;rancho;casilla;departamento;piezaolocal;uno;dos;tres;cuatro;cinco;seis;siete;ochoomas
1 de Mayo;0.0254331;0.145226686;0.298193881;0.254699595;0.165499447;0.0254331;0.029487652;0.037596756;0.016218209;0.001474383;0.000737191;0.956239531;0.025125628;0.641837871;0.358162129;0.557897545;0.052161153;0.389941302;0.091994737;0.005161421;0.009209594;0.00070843;0.003643356;0.911648619;0.055055156;0.026313126;0.006983099;0.822457164;0.003281079;0.000729129;0.169886985;0.003645643;0.11155669;0.187021509;0.211811885;0.2198323;0.129420343;0.077287641;0.039737514;0.023332118
2 de Septiembre;0.055944056;0.237762238;0.41958042;0.206293706;0.054195804;0.006993007;0.006993007;0.012237762;0;0;0;0.92721519;0.049841772;0.190854119;0.809145881;0.581002331;0.058275058;0.360722611;0.259637188;0.011337868;0.032879819;0;0.037414966;0.832199546;0.123204837;0.0287226;0.015873016;0.977777778;0.006837607;0.008547009;0.003418803;0.003418803;0.066666667;0.133333333;0.152136752;0.18974359;0.170940171;0.114529915;0.08034188;0.092307692
20 de Junio;0.033112583;0.317880795;0.337748344;0.158940397;0.099337748;0.01986755;0.013245033;0.01986755;0;0;0;0.928571429;0.047077922;0.386398764;0.613601236;0.52967033;0.116483516;0.353846154;0.188562597;0.035548686;0.023183926;0;0.041731066;0.808346213;0.14374034;0.020092736;0.027820711;0.831168831;0;0;0.123376623;0.045454545;0.051948052;0.194805195;0.194805195;0.175324675;0.123376623;0.090909091;0.103896104;0.064935065
23 de Abril;0.105515588;0.153477218;0.369304556;0.251798561;0.088729017;0.009592326;0.007194245;0.007194245;0.007194245;0;0;0.943200437;0.026215183;0.472059606;0.527940394;0.594516595;0.06998557;0.335497835;0.299095263;0;0.019691325;0;0.019159127;0.863757318;0.110697179;0.023416711;0.002128792;0.983412322;0;0;0.016587678;0;0.068720379;0.154028436;0.154028436;0.196682464;0.1492891;0.090047393;0.087677725;0.099526066
25 de Mayo;0.118181818;0.190909091;0.427272727;0.2;0.027272727;0.009090909;0.009090909;0.018181818;0;0;0;0.933649289;0.061611374;0.434684685;0.565315315;0.539215686;0.075163399;0.385620915;0.252252252;0.002252252;0.036036036;0;0.056306306;0.641891892;0.308558559;0.009009009;0.040540541;0.930434783;0.008695652;0;0.052173913;0.008695652;0.2;0.113043478;0.139130435;0.217391304;0.104347826;0.086956522;0.069565217;0.069565217
4 de Febrero;0.012048193;0.21686747;0.469879518;0.204819277;0.084337349;0;0.012048193;0;0;0;0;1.007692308;0.035897436;0.317016317;0.682983683;0.583038869;0.042402827;0.374558304;0.03962704;0.009324009;0.020979021;0;0;0.850815851;0.058275058;0.055944056;0.034965035;0.980769231;0.009615385;0;0;0.009615385;0.096153846;0.144230769;0.211538462;0.163461538;0.076923077;0.086538462;0.221153846;0
Achaval Peña;0.071729958;0.063291139;0.286919831;0.244725738;0.151898734;0.012658228;0.033755274;0.05907173;0.071729958;0;0.004219409;1.017473118;0.02016129;0.604968944;0.395031056;0.573667712;0.029780564;0.396551724;0.108074534;0.016149068;0;0;0;0.857142857;0.067080745;0.060869565;0.014906832;0.912863071;0.004149378;0.01659751;0.062240664;0.004149378;0.161825726;0.244813278;0.20746888;0.153526971;0.107883817;0.062240664;0.020746888;0.041493776
Acosta;0.024283935;0.156911582;0.303860523;0.254047323;0.156288917;0.020547945;0.02117061;0.04358655;0.018057285;0;0.00124533;0.957150509;0.032315658;0.584544367;0.415455633;0.557074504;0.053998633;0.388926863;0.11335271;0.003932296;0.009745256;0.001196786;0.001025816;0.899469995;0.058129595;0.035732604;0.006667806;0.817737003;0;0.001223242;0.174923547;0.006116208;0.137003058;0.197553517;0.206727829;0.18470948;0.121712538;0.06911315;0.049541284;0.033639144
Aeronáutico;0.013888889;0.041666667;0.166666667;0.143518519;0.25462963;0.037037037;0.111111111;0.143518519;0.083333333;0.00462963;0;0.933250927;0.029666255;0.807142857;0.192857143;0.653198653;0.062289562;0.284511785;0.058333333;0;0.00952381;0;0.007142857;0.858333333;0.104761905;0.019047619;0.017857143;0.968181818;0;0;0.031818182;0;0.072727273;0.15;0.231818182;0.209090909;0.163636364;0.118181818;0.05;0.004545455
Aeropuerto;0.091922006;0.325905292;0.323119777;0.17270195;0.066852368;0.002785515;0.005571031;0.008356546;0.002785515;0;0;0.898965792;0.08035004;0.254857997;0.745142003;0.634146341;0.054587689;0.31126597;0.254110613;0.651718984;0.060538117;0;0.032884903;0.170403587;0.769058296;0.006726457;0.053811659;0.311111111;0.041666667;0.644444444;0.002777778;0;0.133333333;0.169444444;0.219444444;0.166666667;0.158333333;0.055555556;0.05;0.047222222
